episode,shaped_reward,native_reward,shaped_bonus,achievements_unlocked,moves,helper_calls,hallucinations,hallucination_rate,reward_per_move,reward_per_helper_call,achievements_per_move
0,-0.6579999999999999,-0.8999999999999999,0.242,0,36,0,0,0.0,-0.018277777777777775,-0.6579999999999999,0.0
1,0.8780000000000008,0.09999999999999998,0.7780000000000008,1,106,0,0,0.0,0.008283018867924536,0.8780000000000008,0.009433962264150943
2,4.695999999999995,3.0999999999999996,1.5959999999999956,4,154,0,0,0.0,0.03049350649350646,4.695999999999995,0.025974025974025976
3,4.762999999999991,2.099999999999999,2.662999999999992,3,160,1,0,0.0,0.029768749999999945,4.762999999999991,0.01875
4,4.350999999999999,0.09999999999999998,4.2509999999999994,1,161,0,0,0.0,0.027024844720496887,4.350999999999999,0.006211180124223602
5,4.699999999999991,1.1,3.599999999999991,2,134,1,0,0.0,0.035074626865671574,4.699999999999991,0.014925373134328358
6,6.7199999999999855,3.099999999999999,3.6199999999999863,4,191,0,0,0.0,0.035183246073298355,6.7199999999999855,0.020942408376963352
7,2.9539999999999913,0.10000000000000006,2.853999999999991,1,165,1,0,0.0,0.01790303030303025,2.9539999999999913,0.006060606060606061
8,5.329999999999986,2.099999999999999,3.2299999999999867,3,209,5,0,0.0,0.02550239234449754,1.0659999999999972,0.014354066985645933
9,5.456999999999996,2.099999999999999,3.356999999999997,3,199,5,1,0.2,0.0274221105527638,1.0913999999999993,0.01507537688442211
